fatura_id,assinatura_id,data_emissao,data_vencimento,data_pagamento,valor_total,status,tipo_receita,produto
50,149,20/12/2023,31/12/2023,30/12/2023,150,pago,assinatura,Plano Pro
14,113,04/10/2023,18/10/2023,17/10/2023,220,pago,assinatura,Plano Pro
2,102,02/07/2022,16/07/2022,15/07/2022,150,pago,assinatura,Plano Pro
13,113,13/07/2022,27/07/2022,26/07/2022,350,pago,assinatura,Plano Pro
40,139,10/12/2023,24/12/2023,22/12/2023,100,pago,assinatura,Plano Pro
30,129,10/11/2023,24/11/2023,23/11/2023,100,pago,assinatura,Plano Pro
7,107,07/07/2022,21/07/2022,20/07/2022,150,pago,assinatura,Plano Pro
43,142,13/12/2023,27/12/2023,25/12/2023,150,pago,assinatura,Plano Pro
19,119,19/07/2022,02/08/2022,,250,expirado,assinatura,Plano Pro
6,105,01/05/2023,15/05/2023,,250,aguardando_pagamento,assinatura,Plano Pro
38,137,08/12/2023,22/12/2023,,300,aguardando_pagamento,assinatura,Plano Pro
17,116,07/10/2023,21/10/2023,,150,aguardando_pagamento,assinatura,Plano Pro
23,122,03/11/2023,17/11/2023,15/11/2023,220,pago,taxa_implementacao,Setup Pro
15,115,15/07/2022,29/07/2022,28/07/2022,450,pago,taxa_implementacao,Setup Pro
13,112,03/10/2023,17/10/2023,15/10/2023,120,pago,taxa_implementacao,Setup Beta
37,136,07/12/2023,21/12/2023,18/12/2023,350,pago,taxa_implementacao,Setup Alpha
19,118,09/10/2023,23/10/2023,22/10/2023,400,pago,taxa_implementacao,Setup Gamma
42,141,12/12/2023,26/12/2023,,300,expirado,projeto,Projeto Beta
10,110,10/07/2022,24/07/2022,,500,aguardando_pagamento,projeto,Projeto Beta
8,107,01/07/2023,15/07/2023,,400,aguardando_pagamento,projeto,Projeto Beta
1,101,01/01/2023,15/01/2023,14/01/2023,100,pago,assinatura,Plano Básico
17,117,17/07/2022,31/07/2022,30/07/2022,300,pago,assinatura,Plano Básico
7,106,01/06/2023,15/06/2023,10/06/2023,120,pago,assinatura,Plano Básico
1,101,01/07/2022,15/07/2022,14/07/2022,100,pago,assinatura,Plano Básico
2,101,01/02/2023,15/02/2023,10/02/2023,100,pago,assinatura,Plano Básico
25,124,05/11/2023,19/11/2023,18/11/2023,150,pago,assinatura,Plano Básico
9,109,09/07/2022,23/07/2022,22/07/2022,100,pago,assinatura,Plano Básico
11,110,01/10/2023,15/10/2023,,100,aguardando_pagamento,assinatura,Plano Básico
41,140,11/12/2023,25/12/2023,,250,aguardando_pagamento,assinatura,Plano Básico
21,120,01/11/2023,15/11/2023,,100,aguardando_pagamento,assinatura,Plano Básico
36,135,06/12/2023,20/12/2023,,100,aguardando_pagamento,assinatura,Plano Básico
48,147,18/12/2023,31/12/2023,,350,aguardando_pagamento,assinatura,Plano Básico
6,106,06/07/2022,20/07/2022,,120,aguardando_pagamento,assinatura,Plano Básico
31,130,01/12/2023,15/12/2023,,150,aguardando_pagamento,assinatura,Plano Básico
5,105,05/07/2022,19/07/2022,18/07/2022,250,pago,assinatura,Plano Premium
10,109,01/09/2023,15/09/2023,10/09/2023,600,pago,assinatura,Plano Premium
34,133,04/12/2023,18/12/2023,15/12/2023,150,pago,assinatura,Plano Premium
4,103,10/03/2023,25/03/2023,,150,expirado,assinatura,Plano Premium
12,112,12/07/2022,26/07/2022,,400,expirado,assinatura,Plano Premium
24,123,04/11/2023,18/11/2023,,180,expirado,assinatura,Plano Premium
15,114,05/10/2023,19/10/2023,,180,expirado,assinatura,Plano Premium
18,118,18/07/2022,01/08/2022,,150,aguardando_pagamento,assinatura,Plano Premium
44,143,14/12/2023,28/12/2023,,100,aguardando_pagamento,assinatura,Plano Premium
39,138,09/12/2023,23/12/2023,,200,aguardando_pagamento,assinatura,Plano Premium
22,121,02/11/2023,16/11/2023,,500,expirado,projeto,Projeto Alpha
32,131,02/12/2023,16/12/2023,,500,expirado,projeto,Projeto Alpha
3,102,05/01/2023,20/01/2023,,200,aguardando_pagamento,projeto,Projeto Alpha
49,148,19/12/2023,31/12/2023,,400,aguardando_pagamento,projeto,Projeto Alpha
3,103,03/07/2022,17/07/2022,,200,aguardando_pagamento,projeto,Projeto Alpha
26,125,06/11/2023,20/11/2023,,300,aguardando_pagamento,projeto,Projeto Delta
35,134,05/12/2023,19/12/2023,,400,aguardando_pagamento,projeto,Projeto Delta
16,115,06/10/2023,20/10/2023,,300,aguardando_pagamento,projeto,Projeto Delta
12,111,02/10/2023,16/10/2023,,250,aguardando_pagamento,projeto,Projeto Gamma
29,128,09/11/2023,23/11/2023,,400,aguardando_pagamento,projeto,Projeto Gamma
14,114,14/07/2022,28/07/2022,,200,aguardando_pagamento,projeto,Projeto Gamma
5,104,01/04/2023,15/04/2023,12/04/2023,300,pago,taxa_implementacao,Setup Inicial
11,111,11/07/2022,25/07/2022,24/07/2022,300,pago,taxa_implementacao,Setup Inicial
47,146,17/12/2023,31/12/2023,30/12/2023,300,pago,taxa_implementacao,Setup Premium
45,144,15/12/2023,29/12/2023,,500,aguardando_pagamento,projeto,Projeto Epsilon
20,119,10/10/2023,24/10/2023,,250,aguardando_pagamento,projeto,Projeto Epsilon
20,120,20/07/2022,03/08/2022,02/08/2022,400,pago,assinatura,Plano Enterprise
4,104,04/07/2022,18/07/2022,,300,expirado,assinatura,Plano Enterprise
8,108,08/07/2022,22/07/2022,,200,expirado,assinatura,Plano Enterprise
16,116,16/07/2022,30/07/2022,,500,expirado,assinatura,Plano Enterprise
9,108,01/08/2023,15/08/2023,,500,expirado,assinatura,Plano Enterprise
33,132,03/12/2023,17/12/2023,,300,aguardando_pagamento,assinatura,Plano Enterprise
27,126,07/11/2023,21/11/2023,,250,aguardando_pagamento,assinatura,Plano Enterprise
46,145,16/12/2023,30/12/2023,,250,aguardando_pagamento,assinatura,Plano Enterprise
18,117,08/10/2023,22/10/2023,,350,aguardando_pagamento,assinatura,Plano Enterprise
28,127,08/11/2023,22/11/2023,21/11/2023,350,pago,taxa_implementacao,Setup Enterprise
203,1503,03/07/2022,13/07/2022,12/07/2022,2000,pago,projeto,Projeto Gamma
202,1502,02/07/2022,12/07/2022,11/07/2022,1200,pago,projeto,Projeto Beta
201,1501,01/07/2022,10/07/2022,09/07/2022,1500,pago,projeto,Projeto Alpha
204,1504,04/07/2022,14/07/2022,13/07/2022,1800,pago,projeto,Projeto Delta
206,1506,06/07/2022,16/07/2022,15/07/2022,3000,pago,projeto,Projeto Zeta
205,1505,05/07/2022,15/07/2022,14/07/2022,2500,pago,projeto,Projeto Epsilon
317,1517,08/04/2023,18/04/2023,17/04/2023,4000,pago,projeto,Projeto Chi
316,1516,25/01/2023,04/02/2023,03/02/2023,3500,pago,projeto,Projeto Phi
318,1518,22/04/2023,02/05/2023,01/05/2023,4500,pago,projeto,Projeto Psi
313,1513,01/12/2022,11/12/2022,10/12/2022,2300,pago,projeto,Projeto Rho
314,1514,15/12/2022,25/12/2022,24/12/2022,2800,pago,projeto,Projeto Tau
302,1502,10/01/2022,20/01/2022,19/01/2022,1200,pago,projeto,Projeto Beta
